Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
15,tt0976051,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2008[/blue]
[purple]Golden Globe BP Nominee - 2008[/purple]",The Reader,https://www.imdb.com/title/tt0976051/,movie,7.6,124,2008,"Drama, Romance",225638,2008-12-10,Stephen Daldry
16,tt0959337,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2008[/purple],Revolutionary Road,https://www.imdb.com/title/tt0959337/,movie,7.3,119,2008,"Drama, Romance",189027,2008-12-15,Sam Mendes
17,tt0783233,2011-05-03,2011-05-03,"[b][purple]Golden Globe BP Winner - 2007[/purple][/b]
[blue]Academy Award BP Nominee - 2007[/blue]",Atonement,https://www.imdb.com/title/tt0783233/,movie,7.8,123,2007,"Drama, Mystery, Romance, War",240445,2007-08-28,Joe Wright
18,tt0477348,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2007[/blue][/b]
[purple]Golden Globe BP Nominee - 2007[/purple]",No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.1,122,2007,"Crime, Drama, Thriller",817998,2007-05-19,"Ethan Coen, Joel Coen"
19,tt0765429,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2007[/purple],American Gangster,https://www.imdb.com/title/tt0765429/,movie,7.8,157,2007,"Biography, Crime, Drama, Thriller",380737,2007-10-19,Ridley Scott
20,tt0765443,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2007[/purple],Eastern Promises,https://www.imdb.com/title/tt0765443/,movie,7.6,100,2007,"Action, Crime, Drama, Thriller",221988,2007-09-08,David Cronenberg
21,tt0427309,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2007[/purple],The Great Debaters,https://www.imdb.com/title/tt0427309/,movie,7.5,126,2007,"Biography, Drama, Romance",54810,2007-12-11,Denzel Washington
22,tt0467406,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2007[/blue],Juno,https://www.imdb.com/title/tt0467406/,movie,7.4,96,2007,"Comedy, Drama",480518,2007-09-01,Jason Reitman
23,tt0465538,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2007[/blue]
[purple]Golden Globe BP Nominee - 2007[/purple]",Michael Clayton,https://www.imdb.com/title/tt0465538/,movie,7.2,119,2007,"Crime, Drama, Mystery, Thriller",152909,2007-08-31,Tony Gilroy
24,tt0469494,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2007[/blue]
[purple]Golden Globe BP Nominee - 2007[/purple]",There Will Be Blood,https://www.imdb.com/title/tt0469494/,movie,8.2,158,2007,Drama,495412,2007-09-27,Paul Thomas Anderson
25,tt0449467,2011-05-03,2011-05-03,"[b][purple]Best Picture Golden Globe Award - 2006[/purple][/b]
[blue]Academy Award BP Nominee - 2006[/blue]",Babel,https://www.imdb.com/title/tt0449467/,movie,7.4,143,2006,Drama,283079,2006-05-23,Alejandro G. Iñárritu
26,tt0407887,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2006[/blue][/b]
[purple]Golden Globe BP Nominee - 2006[/purple]",The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1145161,2006-09-26,Martin Scorsese
27,tt0308055,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2006[/purple],Bobby,https://www.imdb.com/title/tt0308055/,movie,7.0,117,2006,"Biography, Drama, History",40620,2006-09-05,Emilio Estevez
